age,Clean_person_emp_length,deafult_flag,income,loan_amnt,loan_grade,loan_int_rate,loan_intent,loan_status,pct_income,person_cred_hist_length,person_home_ownership
21,1,0,24996,3600,D,14.09,MEDICAL,1,0.14,3,RENT
21,1,0,25000,7000,B,12.69,EDUCATION,0,0.28,2,RENT
21,1,0,25000,10000,A,11.09,PERSONAL,1,0.4,4,RENT
21,1,0,25200,4000,A,8.49,PERSONAL,0,0.16,4,RENT
21,1,0,25200,8250,A,7.49,EDUCATION,1,0.33,4,RENT
21,1,0,26000,2400,B,11.58,PERSONAL,1,0.09,4,RENT
21,1,0,26000,9450,D,16.77,DEBTCONSOLIDATION,1,0.36,2,RENT
21,1,0,26940,2500,A,5.42,EDUCATION,0,0.09,4,RENT
21,1,0,27000,4800,A,7.51,EDUCATION,0,0.18,2,RENT
21,1,0,28000,9700,C,11.34,HOMEIMPROVEMENT,1,0.35,2,RENT
21,1,0,28800,3175,A,6.03,EDUCATION,0,0.11,4,RENT
21,1,0,28800,9600,B,10.37,EDUCATION,1,0.33,3,RENT
21,1,0,29760,8500,B,10.62,DEBTCONSOLIDATION,0,0.29,2,RENT
21,1,0,30000,5600,D,14.46,PERSONAL,1,0.19,2,RENT
21,1,0,30000,6000,C,13.16,VENTURE,1,0.2,4,RENT
21,1,0,30000,10000,B,11.14,MEDICAL,1,0.33,2,RENT
21,1,0,31200,6000,D,16.89,DEBTCONSOLIDATION,1,0.19,3,RENT
21,1,0,32000,2500,A,7.4,VENTURE,0,0.08,3,RENT
21,1,0,32400,10000,B,11.48,EDUCATION,1,0.31,2,RENT
21,1,0,33276,10000,B,11.83,DEBTCONSOLIDATION,0,0.3,3,RENT
21,1,0,35000,4950,A,7.68,MEDICAL,0,0.14,4,MORTGAGE
21,1,0,35004,3600,A,8,VENTURE,0,0.1,2,MORTGAGE
21,1,0,35100,3500,A,5.79,EDUCATION,0,0.1,2,RENT
21,1,0,35360,2200,A,7.49,EDUCATION,0,0.06,2,RENT
21,1,0,36000,4000,A,5.42,MEDICAL,0,0.11,3,MORTGAGE
21,1,0,36000,4500,D,17.27,MEDICAL,1,0.13,4,RENT
21,1,0,36000,4500,D,17.27,VENTURE,1,0.13,2,RENT
21,1,0,36000,8000,A,9.32,DEBTCONSOLIDATION,0,0.22,3,MORTGAGE
21,1,0,36500,14400,D,15.05,PERSONAL,1,0.39,4,RENT
21,1,0,37200,7000,B,10.99,DEBTCONSOLIDATION,0,0.19,3,RENT
21,1,0,38000,5000,A,8.94,MEDICAL,0,0.13,2,OWN
21,1,0,40000,6000,B,10.08,EDUCATION,0,0.15,3,RENT
21,1,0,40000,15000,C,13.16,EDUCATION,0,0.38,2,OWN
21,1,0,40800,10400,A,9.32,PERSONAL,0,0.25,3,RENT
21,1,0,42000,2500,A,7.29,DEBTCONSOLIDATION,0,0.06,4,MORTGAGE
21,1,0,45000,6800,A,5.79,PERSONAL,0,0.15,3,RENT
21,1,0,45176,12000,B,11.49,MEDICAL,0,0.27,3,RENT
21,1,0,47000,5300,A,7.66,MEDICAL,0,0.11,2,RENT
21,1,0,47200,7000,C,13.23,MEDICAL,0,0.15,4,MORTGAGE
21,1,0,48000,3500,B,10.25,EDUCATION,1,0.07,3,MORTGAGE
21,1,0,48000,10000,A,5.79,DEBTCONSOLIDATION,0,0.21,2,RENT
21,1,0,48000,15000,B,11.48,PERSONAL,1,0.31,3,RENT
21,1,0,50000,7000,B,10.37,MEDICAL,0,0.14,4,RENT
21,1,0,50000,10000,A,6.03,EDUCATION,0,0.2,4,RENT
21,1,0,50000,10000,A,6.99,DEBTCONSOLIDATION,0,0.2,4,RENT
21,1,0,51800,5000,B,9.99,VENTURE,0,0.1,3,MORTGAGE
21,1,0,51996,18000,A,8.49,EDUCATION,0,0.35,2,MORTGAGE
21,1,0,52000,13200,B,12.42,EDUCATION,0,0.25,2,OWN
21,1,0,52000,16000,C,12.87,EDUCATION,0,0.31,4,MORTGAGE
21,1,0,55000,7500,A,7.88,EDUCATION,0,0.14,2,RENT
21,1,0,59000,5500,A,5.42,EDUCATION,0,0.09,2,RENT
21,1,0,65000,10000,B,9.99,EDUCATION,0,0.15,2,RENT
21,1,0,72000,7500,C,13.22,EDUCATION,0,0.1,3,RENT
21,1,0,78000,14275,B,9.91,EDUCATION,0,0.18,4,RENT
21,1,0,85000,12000,C,11.97,VENTURE,0,0.14,2,RENT
21,1,0,88000,25000,D,14.83,PERSONAL,1,0.28,4,MORTGAGE
21,1,0,96000,7000,B,12.53,EDUCATION,0,0.07,4,OWN
21,1,0,100000,7800,A,7.88,DEBTCONSOLIDATION,0,0.08,2,RENT
21,1,1,6000,1600,D,14.61,PERSONAL,1,0.27,3,OWN
21,1,1,24000,2000,E,18.39,PERSONAL,1,0.08,3,RENT
21,1,1,24996,5000,C,11.09,DEBTCONSOLIDATION,0,0.2,3,RENT
21,1,1,30000,2400,D,16.49,VENTURE,1,0.08,2,RENT
21,1,1,30000,2400,D,17.19,HOMEIMPROVEMENT,1,0.08,2,RENT
21,1,1,30000,6000,C,13.16,EDUCATION,1,0.2,4,RENT
21,1,1,30000,14500,D,14.59,VENTURE,1,0.48,2,RENT
21,1,1,31200,6000,D,16.89,EDUCATION,1,0.19,4,RENT
21,1,1,33996,6000,C,12.53,PERSONAL,0,0.18,3,RENT
21,1,1,37260,7500,D,14.84,HOMEIMPROVEMENT,1,0.2,2,RENT
21,1,1,37800,2400,C,14.26,PERSONAL,0,0.06,3,RENT
21,1,1,40000,15000,C,13.16,PERSONAL,0,0.38,4,OWN
21,1,1,48000,1800,C,13.35,DEBTCONSOLIDATION,0,0.04,2,RENT
21,1,1,62496,5000,C,12.53,EDUCATION,0,0.08,3,MORTGAGE
21,2,0,9900,2500,A,7.14,VENTURE,1,0.25,2,OWN
21,2,0,10000,4500,A,8.63,HOMEIMPROVEMENT,1,0.45,2,OWN
21,2,0,12000,3250,B,9.99,HOMEIMPROVEMENT,1,0.27,2,RENT
21,2,0,12960,2525,B,11.09,VENTURE,1,0.19,2,RENT
21,2,0,13200,1875,A,6.99,DEBTCONSOLIDATION,0,0.14,3,RENT
21,2,0,13200,4000,A,6.39,HOMEIMPROVEMENT,1,0.3,3,RENT
21,2,0,14400,1200,A,7.14,DEBTCONSOLIDATION,0,0.08,3,RENT
21,2,0,14400,1825,D,15.62,VENTURE,1,0.13,2,RENT
21,2,0,14400,3000,B,9.63,HOMEIMPROVEMENT,1,0.21,2,RENT
21,2,0,14400,5900,B,12.42,EDUCATION,1,0.41,3,RENT
21,2,0,15600,1500,B,11.86,EDUCATION,0,0.1,2,RENT
21,2,0,15600,3500,D,16.07,PERSONAL,1,0.22,3,RENT
21,2,0,16200,2200,D,16.49,MEDICAL,1,0.14,2,RENT
21,2,0,18000,4500,B,10.38,PERSONAL,1,0.25,2,RENT
21,2,0,18000,4500,B,10.38,PERSONAL,1,0.25,3,RENT
21,2,0,18456,3500,C,13.35,MEDICAL,1,0.19,3,RENT
21,2,0,20000,5000,B,10.39,DEBTCONSOLIDATION,0,0.25,2,RENT
21,2,0,20000,9000,A,7.51,MEDICAL,1,0.45,4,RENT
21,2,0,20000,9500,A,8.9,VENTURE,1,0.47,4,RENT
21,2,0,20004,2500,B,9.63,EDUCATION,0,0.12,3,OWN
21,2,0,20004,2500,B,9.63,MEDICAL,0,0.12,2,OWN
21,2,0,20004,3000,B,10.37,DEBTCONSOLIDATION,0,0.15,4,RENT
21,2,0,20004,3000,B,10.37,EDUCATION,0,0.15,3,RENT
21,2,0,20400,4500,B,10.99,PERSONAL,0,0.22,2,RENT
21,2,0,20400,4500,B,10.99,VENTURE,0,0.22,3,RENT
21,2,0,21000,4000,B,11.86,DEBTCONSOLIDATION,0,0.19,2,RENT
21,2,0,21000,5000,A,6.91,VENTURE,0,0.24,4,RENT
21,2,0,21000,6250,C,13.85,EDUCATION,0,0.3,3,RENT
21,2,0,21000,10000,B,11.71,EDUCATION,1,0.48,2,RENT
21,2,0,21600,3500,A,7.51,DEBTCONSOLIDATION,0,0.16,2,RENT
21,2,0,21600,3800,A,5.99,DEBTCONSOLIDATION,0,0.18,2,MORTGAGE
21,2,0,21600,10000,B,11.14,DEBTCONSOLIDATION,0,0.46,2,MORTGAGE
21,2,0,21700,5500,D,14.91,HOMEIMPROVEMENT,1,0.25,2,RENT
21,2,0,21816,1500,B,11.86,PERSONAL,0,0.07,3,MORTGAGE
21,2,0,22000,4000,D,15.05,DEBTCONSOLIDATION,0,0.18,4,OWN
21,2,0,22200,2500,D,16.29,PERSONAL,1,0.11,4,RENT
21,2,0,23000,7000,A,8.9,DEBTCONSOLIDATION,0,0.3,4,MORTGAGE
21,2,0,23000,7000,A,8.9,MEDICAL,0,0.3,3,MORTGAGE
21,2,0,23916,4500,B,9.62,EDUCATION,0,0.19,4,RENT
21,2,0,24000,5000,B,8.7,EDUCATION,0,0.21,2,MORTGAGE
21,2,0,24000,5000,C,12.98,MEDICAL,0,0.21,2,RENT
21,2,0,24000,6000,B,11.36,MEDICAL,0,0.25,3,RENT
21,2,0,24000,7000,B,11.86,MEDICAL,0,0.29,2,OWN
21,2,0,24000,7000,B,11.86,PERSONAL,0,0.29,3,OWN
21,2,0,24396,4000,D,15.05,VENTURE,0,0.16,4,MORTGAGE
21,2,0,24996,5000,E,16.45,EDUCATION,1,0.2,4,RENT
21,2,0,24996,5000,E,16.45,MEDICAL,1,0.2,4,RENT
21,2,0,25000,3600,B,9.91,PERSONAL,0,0.14,4,MORTGAGE
21,2,0,25000,3600,B,9.91,VENTURE,0,0.14,4,MORTGAGE
21,2,0,25200,6000,A,7.49,EDUCATION,0,0.24,3,RENT
21,2,0,26000,7750,E,16.7,EDUCATION,1,0.3,3,RENT
21,2,0,26400,4000,A,7.51,VENTURE,0,0.15,4,OWN
21,2,0,27600,3000,B,11.49,EDUCATION,0,0.11,4,RENT
21,2,0,27996,14075,B,11.09,VENTURE,1,0.5,2,RENT
21,2,0,28000,4000,C,15.23,EDUCATION,0,0.14,2,RENT
21,2,0,28000,6625,C,13.06,DEBTCONSOLIDATION,1,0.24,2,RENT
21,2,0,28800,6000,B,10.62,HOMEIMPROVEMENT,1,0.21,3,RENT
21,2,0,29000,12250,C,13.61,VENTURE,1,0.42,4,RENT
21,2,0,30000,1200,B,9.62,EDUCATION,0,0.04,3,RENT
21,2,0,30000,3000,B,11.89,EDUCATION,0,0.1,4,RENT
21,2,0,30000,4150,A,6.76,MEDICAL,0,0.14,3,RENT
21,2,0,30000,5000,D,14.96,PERSONAL,1,0.17,2,RENT
21,2,0,30000,6300,B,11.71,DEBTCONSOLIDATION,0,0.21,3,RENT
21,2,0,30000,7000,B,10.99,PERSONAL,1,0.23,2,RENT
21,2,0,30000,7000,B,10.99,VENTURE,0,0.23,3,RENT
21,2,0,31200,1000,D,14.59,EDUCATION,0,0.03,2,MORTGAGE
21,2,0,31970,4650,A,9.32,VENTURE,0,0.15,2,RENT
21,2,0,32400,10000,A,5.42,EDUCATION,0,0.31,2,MORTGAGE
21,2,0,32400,10000,C,13.23,MEDICAL,1,0.31,4,RENT
21,2,0,32900,3000,B,9.99,MEDICAL,0,0.09,2,MORTGAGE
21,2,0,33000,3250,A,7.14,HOMEIMPROVEMENT,1,0.1,3,MORTGAGE
21,2,0,33000,10800,C,12.23,EDUCATION,1,0.33,3,RENT
21,2,0,33600,12000,B,11.12,MEDICAL,1,0.36,3,RENT
21,2,0,33996,2500,A,7.88,HOMEIMPROVEMENT,1,0.07,3,MORTGAGE
21,2,0,34000,5000,D,14.59,PERSONAL,1,0.15,4,RENT
21,2,0,34500,11500,D,15.31,HOMEIMPROVEMENT,1,0.33,2,RENT
21,2,0,35000,800,A,7.37,VENTURE,0,0.02,3,MORTGAGE
21,2,0,35000,7000,D,14.59,VENTURE,0,0.2,3,OWN
21,2,0,35000,7200,C,15.23,VENTURE,0,0.21,4,OWN
21,2,0,35000,11000,A,7.88,EDUCATION,0,0.31,3,OWN
21,2,0,35000,11000,A,7.88,MEDICAL,0,0.31,2,OWN
21,2,0,35360,12250,D,15.31,EDUCATION,0,0.35,4,MORTGAGE
21,2,0,36000,6000,B,11.86,EDUCATION,0,0.17,3,RENT
21,2,0,36184,12000,B,9.99,PERSONAL,0,0.33,4,OWN
21,2,0,36500,5500,A,7.51,VENTURE,0,0.15,2,RENT
21,2,0,36780,12000,B,11.49,DEBTCONSOLIDATION,1,0.33,4,RENT
21,2,0,37200,5100,A,7.49,MEDICAL,0,0.14,4,RENT
21,2,0,37200,6000,B,11.71,DEBTCONSOLIDATION,0,0.16,4,RENT
21,2,0,39996,10000,A,8.59,EDUCATION,0,0.25,4,RENT
21,2,0,40000,2000,C,14.72,EDUCATION,0,0.05,3,RENT
21,2,0,40000,8000,B,9.63,DEBTCONSOLIDATION,0,0.2,2,RENT
21,2,0,40000,10000,B,11.71,MEDICAL,0,0.25,4,RENT
21,2,0,40116,6500,A,5.79,VENTURE,0,0.16,3,RENT
21,2,0,41000,4500,C,13.49,DEBTCONSOLIDATION,1,0.11,3,RENT
21,2,0,41000,8200,A,6.91,PERSONAL,0,0.2,3,MORTGAGE
21,2,0,41033,5700,C,12.99,DEBTCONSOLIDATION,0,0.14,4,MORTGAGE
21,2,0,42000,5000,D,11.09,PERSONAL,1,0.12,4,RENT
21,2,0,43000,9200,A,8.94,MEDICAL,0,0.21,2,RENT
21,2,0,44000,12000,A,11.09,DEBTCONSOLIDATION,0,0.27,2,MORTGAGE
21,2,0,44000,15000,E,16,DEBTCONSOLIDATION,1,0.34,2,MORTGAGE
21,2,0,44004,7000,B,11.46,EDUCATION,1,0.16,2,RENT
21,2,0,44004,7000,B,11.46,HOMEIMPROVEMENT,1,0.16,2,RENT
21,2,0,45000,6000,A,11.09,VENTURE,0,0.13,2,OWN
21,2,0,45000,7000,A,7.51,EDUCATION,0,0.16,4,RENT
21,2,0,46800,5000,A,9.32,PERSONAL,0,0.11,3,RENT
21,2,0,47000,5400,A,8.9,MEDICAL,0,0.11,3,MORTGAGE
21,2,0,47500,7500,B,10.99,DEBTCONSOLIDATION,0,0.16,2,RENT
21,2,0,47500,7500,B,10.99,EDUCATION,0,0.16,3,RENT
21,2,0,47760,15000,A,6.03,PERSONAL,0,0.31,2,MORTGAGE
21,2,0,48000,3000,B,9.76,EDUCATION,0,0.06,4,RENT
21,2,0,50000,18000,D,14.74,EDUCATION,1,0.36,2,RENT
21,2,0,50808,4000,A,6.17,EDUCATION,0,0.08,4,RENT
21,2,0,53000,14000,C,14.65,EDUCATION,0,0.26,3,RENT
21,2,0,53851,12000,B,10,DEBTCONSOLIDATION,0,0.22,2,MORTGAGE
21,2,0,55600,6000,A,11.09,MEDICAL,0,0.11,4,RENT
21,2,0,55600,6000,A,11.09,PERSONAL,0,0.11,3,RENT
21,2,0,60000,5000,A,8.49,MEDICAL,0,0.08,4,RENT
21,2,0,60000,5000,A,8.49,VENTURE,0,0.08,2,RENT
21,2,0,60000,6000,B,10.62,VENTURE,0,0.1,2,MORTGAGE
21,2,0,60000,6000,B,10.62,VENTURE,0,0.1,4,MORTGAGE
21,2,0,60000,8000,B,11.26,EDUCATION,0,0.13,3,RENT
21,2,0,60996,8500,B,11.09,VENTURE,0,0.14,2,RENT
21,2,0,62000,6000,A,7.51,DEBTCONSOLIDATION,0,0.1,2,MORTGAGE
21,2,0,62000,6000,A,7.51,PERSONAL,0,0.1,4,MORTGAGE
21,2,0,62000,6000,B,10.25,EDUCATION,0,0.1,4,RENT
21,2,0,63000,10000,B,10.59,PERSONAL,0,0.16,2,MORTGAGE
21,2,0,63250,6225,B,10.99,PERSONAL,0,0.1,4,RENT
21,2,0,64500,15000,B,11.83,EDUCATION,0,0.23,2,MORTGAGE
21,2,0,65000,8400,B,11.86,VENTURE,0,0.13,4,MORTGAGE
21,2,0,68400,10000,B,11.11,DEBTCONSOLIDATION,0,0.15,4,RENT
21,2,0,70553,10000,D,15.28,MEDICAL,1,0.12,3,MORTGAGE
21,2,0,83004,10000,D,15.28,DEBTCONSOLIDATION,1,0.12,4,MORTGAGE
21,2,0,84400,12000,A,8.94,VENTURE,0,0.14,3,OWN
21,2,0,85000,15000,B,10.95,VENTURE,0,0.18,3,RENT
21,2,0,87547,12000,A,5.99,EDUCATION,0,0.14,2,MORTGAGE
21,2,0,90000,3300,B,11.71,VENTURE,0,0.04,4,RENT
21,2,0,90200,19125,C,13.92,PERSONAL,0,0.21,4,RENT
21,2,0,98280,10000,A,6.62,DEBTCONSOLIDATION,0,0.1,2,MORTGAGE
21,2,0,101004,14000,B,10.25,DEBTCONSOLIDATION,0,0.14,2,MORTGAGE
21,2,0,115000,20000,B,10.83,DEBTCONSOLIDATION,0,0.17,4,MORTGAGE
21,2,0,120000,10000,B,11.71,DEBTCONSOLIDATION,0,0.08,3,RENT
21,2,0,125000,6000,A,5.79,PERSONAL,0,0.05,2,MORTGAGE
21,2,0,140000,18000,A,7.9,EDUCATION,0,0.13,4,MORTGAGE
21,2,0,155800,18000,B,11.26,MEDICAL,0,0.12,3,MORTGAGE
21,2,0,200000,25000,C,13.99,DEBTCONSOLIDATION,0,0.13,2,MORTGAGE
21,2,1,14400,1825,D,15.62,PERSONAL,1,0.13,2,RENT
21,2,1,14400,3000,C,13.43,MEDICAL,1,0.21,3,RENT
21,2,1,16000,1000,D,15.65,VENTURE,1,0.06,3,RENT
21,2,1,18000,5800,C,14.72,DEBTCONSOLIDATION,1,0.32,4,RENT
21,2,1,18000,5800,C,14.72,HOMEIMPROVEMENT,1,0.32,2,RENT
21,2,1,18456,3500,C,13.35,MEDICAL,1,0.19,2,RENT
21,2,1,19000,4200,C,11.09,HOMEIMPROVEMENT,1,0.22,2,RENT
21,2,1,20000,1000,C,14.26,DEBTCONSOLIDATION,0,0.05,2,RENT
21,2,1,20000,2500,C,13.79,MEDICAL,0,0.13,4,RENT
21,2,1,20000,2500,C,13.79,PERSONAL,0,0.13,3,RENT
21,2,1,20400,1275,C,15.23,EDUCATION,0,0.06,3,OWN
21,2,1,22200,2500,D,16.29,DEBTCONSOLIDATION,1,0.11,2,RENT
21,2,1,24000,1500,C,13.85,EDUCATION,0,0.06,4,RENT
21,2,1,24000,4000,D,14.84,MEDICAL,1,0.17,2,RENT
21,2,1,24000,13000,D,15.7,VENTURE,1,0.54,3,RENT
21,2,1,26000,7750,E,16.7,MEDICAL,1,0.3,2,RENT
21,2,1,26400,5000,C,13.49,EDUCATION,0,0.19,2,RENT
21,2,1,28000,1000,C,12.99,EDUCATION,0,0.04,4,MORTGAGE
21,2,1,28200,2500,D,16.77,DEBTCONSOLIDATION,1,0.09,2,RENT
21,2,1,28800,5500,C,13.23,PERSONAL,0,0.19,2,MORTGAGE
21,2,1,29000,4200,D,15.62,MEDICAL,1,0.14,3,RENT
21,2,1,30000,5000,D,14.96,MEDICAL,1,0.17,4,RENT
21,2,1,30000,12250,D,14.59,DEBTCONSOLIDATION,1,0.41,3,RENT
21,2,1,32000,8400,D,16.77,DEBTCONSOLIDATION,1,0.26,4,RENT
21,2,1,32400,10000,C,13.23,VENTURE,1,0.31,3,RENT
21,2,1,32868,2500,C,13.61,VENTURE,0,0.08,3,OWN
21,2,1,33000,11000,C,13.11,EDUCATION,0,0.33,3,OWN
21,2,1,36000,5000,C,14.27,MEDICAL,1,0.14,2,MORTGAGE
21,2,1,41900,16000,C,12.84,VENTURE,1,0.38,2,RENT
21,2,1,44964,24000,D,16.29,EDUCATION,1,0.53,2,RENT
21,2,1,45996,17000,C,13.16,EDUCATION,1,0.37,4,MORTGAGE
21,2,1,46000,5200,D,17.27,PERSONAL,1,0.11,3,RENT
21,2,1,46000,5200,D,17.27,VENTURE,1,0.11,4,RENT
21,2,1,47208,3000,C,13.92,PERSONAL,0,0.06,2,RENT
21,2,1,49000,16950,D,18.25,PERSONAL,1,0.35,4,RENT
21,2,1,67400,20000,E,17.74,VENTURE,1,0.3,2,MORTGAGE
21,2,1,71688,7500,D,13.17,EDUCATION,0,0.1,4,MORTGAGE
21,2,1,78000,10000,D,15.57,DEBTCONSOLIDATION,1,0.13,4,RENT
21,2,1,112800,16000,C,13.48,EDUCATION,1,0.14,2,MORTGAGE
21,3,0,4200,2750,E,16.95,PERSONAL,1,0.65,3,RENT
21,3,0,12000,1600,B,10.59,EDUCATION,1,0.13,2,RENT
21,3,0,12000,1600,B,10.59,VENTURE,0,0.13,2,RENT
21,3,0,14400,5000,C,13.72,VENTURE,1,0.35,4,RENT
21,3,0,15500,8000,A,7.51,HOMEIMPROVEMENT,1,0.52,4,RENT
21,3,0,16200,1200,A,7.49,EDUCATION,0,0.07,3,RENT
21,3,0,17000,5750,A,8.9,MEDICAL,1,0.34,2,RENT
21,3,0,18000,2500,A,7.88,EDUCATION,0,0.14,2,RENT
21,3,0,20000,4400,A,6.91,PERSONAL,0,0.22,4,RENT
21,3,0,22600,6000,C,12.23,EDUCATION,0,0.27,4,RENT
21,3,0,24000,3200,C,13.57,DEBTCONSOLIDATION,0,0.13,4,RENT
21,3,0,24300,4500,B,11.83,MEDICAL,0,0.19,4,OWN
21,3,0,24996,6000,B,11.83,EDUCATION,0,0.24,3,RENT
21,3,0,24996,7000,D,15.58,EDUCATION,0,0.28,2,OWN
21,3,0,25000,6000,B,11.09,DEBTCONSOLIDATION,0,0.24,4,RENT
21,3,0,26400,3000,D,14.54,DEBTCONSOLIDATION,0,0.11,4,OWN
21,3,0,26400,10000,A,11.09,MEDICAL,1,0.38,2,RENT
21,3,0,28000,4000,A,7.88,VENTURE,0,0.14,3,OWN
21,3,0,28000,8000,B,10.99,EDUCATION,1,0.29,2,RENT
21,3,0,28596,2000,A,7.29,PERSONAL,0,0.07,4,MORTGAGE
21,3,0,29004,7400,E,17.56,EDUCATION,1,0.26,3,MORTGAGE
21,3,0,30000,2500,A,7.14,DEBTCONSOLIDATION,1,0.08,4,RENT
21,3,0,30000,3200,B,11.14,MEDICAL,0,0.11,3,RENT
21,3,0,30000,5000,C,13.92,VENTURE,0,0.17,4,RENT
21,3,0,30000,6000,A,8.94,MEDICAL,0,0.2,2,RENT
21,3,0,30000,14000,B,10.65,MEDICAL,1,0.47,2,RENT
21,3,0,32000,4500,E,16,PERSONAL,0,0.14,4,OWN
21,3,0,32000,5000,A,7.68,EDUCATION,0,0.16,4,RENT
21,3,0,32000,7000,B,11.49,VENTURE,0,0.22,2,RENT
21,3,0,33388,1000,B,10.99,EDUCATION,0,0.03,2,RENT
21,3,0,33996,5000,B,9.25,PERSONAL,1,0.15,3,RENT
21,3,0,34500,6400,A,7.51,EDUCATION,0,0.19,2,MORTGAGE
21,3,0,34800,2000,B,11.71,MEDICAL,0,0.06,3,RENT
21,3,0,35000,1500,A,5.79,EDUCATION,0,0.04,2,RENT
21,3,0,35000,6400,B,12.69,MEDICAL,0,0.18,4,RENT
21,3,0,35000,21000,B,12.53,VENTURE,1,0.6,4,RENT
21,3,0,35364,10000,B,11.09,VENTURE,0,0.28,4,RENT
21,3,0,35550,5000,C,11.09,PERSONAL,0,0.14,4,RENT
21,3,0,36000,4000,A,5.99,DEBTCONSOLIDATION,0,0.11,4,MORTGAGE
21,3,0,36000,5000,C,12.99,DEBTCONSOLIDATION,0,0.14,4,RENT
21,3,0,36000,5000,C,12.99,EDUCATION,0,0.14,4,RENT
21,3,0,36000,10000,B,10.62,EDUCATION,0,0.28,3,RENT
21,3,0,36000,10000,C,13.22,MEDICAL,0,0.28,4,RENT
21,3,0,36000,11000,B,10.37,HOMEIMPROVEMENT,1,0.31,4,RENT
21,3,0,36000,15000,A,6.62,MEDICAL,1,0.42,2,RENT
21,3,0,36000,18500,C,10.91,EDUCATION,1,0.51,3,RENT
21,3,0,36000,18500,C,10.91,MEDICAL,1,0.51,2,RENT
21,3,0,37000,7200,C,13.61,EDUCATION,0,0.19,4,OWN
21,3,0,37000,7200,C,13.61,MEDICAL,0,0.19,2,OWN
21,3,0,37200,16800,A,6.17,MEDICAL,1,0.45,2,MORTGAGE
21,3,0,37232,17500,B,12.53,MEDICAL,1,0.47,2,RENT
21,3,0,38000,10000,B,12.18,PERSONAL,0,0.26,3,RENT
21,3,0,39900,6000,B,11.49,DEBTCONSOLIDATION,0,0.15,3,RENT
21,3,0,39900,6000,B,11.49,EDUCATION,0,0.15,2,RENT
21,3,0,40000,2500,A,6.76,MEDICAL,0,0.06,4,MORTGAGE
21,3,0,40000,4000,A,7.51,EDUCATION,0,0.1,2,RENT
21,3,0,40000,5000,B,9.25,VENTURE,0,0.13,4,RENT
21,3,0,40000,6000,A,5.79,DEBTCONSOLIDATION,0,0.15,3,MORTGAGE
21,3,0,40000,7000,D,14.46,EDUCATION,0,0.17,3,RENT
21,3,0,40000,8000,A,6.92,DEBTCONSOLIDATION,0,0.2,4,MORTGAGE
21,3,0,40800,12000,D,15.21,MEDICAL,1,0.29,2,RENT
21,3,0,41200,8000,B,11.48,PERSONAL,0,0.19,3,OWN
21,3,0,42000,13750,B,11.36,EDUCATION,0,0.33,4,MORTGAGE
21,3,0,43000,10000,C,11.09,PERSONAL,0,0.23,4,RENT
21,3,0,45000,3200,A,6.54,PERSONAL,0,0.07,4,RENT
21,3,0,45000,4500,A,7.14,MEDICAL,0,0.1,2,MORTGAGE
